,description,type,id,ontology_type,orthodb_id,name,count,obsolete_term,ancestor_terms
79,DNA biosynthetic process,GeneOntology,GO:0071897,biological_process,16244at33208,GO:0071897,114.0,False,"GO:1901360,GO:1901362,GO:0009059,GO:0009058,GO:0044238,GO:0044237,GO:0043170,GO:0046483,GO:0018130,GO:0071897,GO:0034641,GO:0090304,GO:0008150,GO:0008152,GO:1901576,GO:0044249,GO:0006259,GO:0006139,GO:0009987,GO:0006725,GO:0044271,GO:0006807,GO:0034654,GO:0071704,GO:0019438"
80,epsilon DNA polymerase complex,GeneOntology,GO:0008622,cellular_component,16244at33208,GO:0008622,165.0,False,"GO:0043229,GO:1902494,GO:0061695,GO:0043233,GO:0043232,GO:0000228,GO:0005694,GO:0042575,GO:0110165,GO:0043226,GO:0005575,GO:0043228,GO:0005622,GO:0043227,GO:0008622,GO:0005634,GO:1990234,GO:0140535,GO:0140513,GO:0070013,GO:0043231,GO:0031981,GO:0032991,GO:0031974"
81,nucleus,GeneOntology,GO:0005634,cellular_component,16244at33208,GO:0005634,162.0,False,"GO:0043229,GO:0005634,GO:0043231,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227"
82,"L: Replication, recombination and repair",text,L,functional_category,40200at33208,,,,
83,"X: Mobilome: prophages, transposons",text,X,functional_category,40200at33208,,,,
84,V: Defense mechanisms,text,V,functional_category,40200at33208,,,,
85,damaged DNA binding,GeneOntology,GO:0003684,molecular_function,40200at33208,GO:0003684,142.0,False,"GO:0003676,GO:0003677,GO:1901363,GO:0097159,GO:0005488,GO:0003684,GO:0003674"
86,nucleotidyltransferase activity,GeneOntology,GO:0016779,molecular_function,40200at33208,GO:0016779,125.0,False,"GO:0016779,GO:0003824,GO:0016772,GO:0016740,GO:0003674"
87,transferase activity,GeneOntology,GO:0016740,molecular_function,40200at33208,GO:0016740,103.0,False,"GO:0003824,GO:0016740,GO:0003674"
88,,GeneOntology,GO:0003677,unclassified GO terms,40200at33208,GO:0003677,103.0,False,"GO:0003676,GO:0003677,GO:1901363,GO:0097159,GO:0005488,GO:0003674"
89,,GeneOntology,GO:0006974,unclassified GO terms,40200at33208,GO:0006974,102.0,False,"GO:0008150,GO:0051716,GO:0033554,GO:0006974,GO:0006950,GO:0050896,GO:0009987"
90,"DNA polymerase, Y-family, little finger domain superfamily",interpro,IPR036775,interpro_domains,40200at33208,IPR036775,120.0,,
91,"DNA polymerase, Y-family, little finger domain",interpro,IPR017961,interpro_domains,40200at33208,IPR017961,118.0,,
92,UmuC domain,interpro,IPR001126,interpro_domains,40200at33208,IPR001126,117.0,,
93,BRCT domain superfamily,interpro,IPR036420,interpro_domains,40200at33208,IPR036420,114.0,,
94,BRCT domain,interpro,IPR001357,interpro_domains,40200at33208,IPR001357,114.0,,
95,"Rev1, C-terminal domain superfamily",interpro,IPR038401,interpro_domains,40200at33208,IPR038401,108.0,,
96,"DNA repair protein Rev1, C-terminal",interpro,IPR031991,interpro_domains,40200at33208,IPR031991,108.0,,
97,DNA repair protein Rev1,interpro,IPR012112,interpro_domains,40200at33208,IPR012112,105.0,,
98,DNA repair,GeneOntology,GO:0006281,biological_process,40200at33208,GO:0006281,144.0,False,"GO:0090304,GO:0006281,GO:0008150,GO:1901360,GO:0008152,GO:0006974,GO:0006259,GO:0044238,GO:0006139,GO:0044237,GO:0006950,GO:0009987,GO:0006725,GO:0043170,GO:0046483,GO:0006807,GO:0051716,GO:0033554,GO:0034641,GO:0071704,GO:0050896"
99,error-prone translesion synthesis,GeneOntology,GO:0042276,biological_process,40200at33208,GO:0042276,140.0,False,"GO:0006281,GO:1901360,GO:1901362,GO:0042276,GO:0009059,GO:0009058,GO:0000731,GO:0044238,GO:0044237,GO:0006301,GO:0043170,GO:0046483,GO:0018130,GO:0071897,GO:0033554,GO:0034641,GO:0019985,GO:0050896,GO:0090304,GO:0008150,GO:0008152,GO:1901576,GO:0006974,GO:0006259,GO:0044249,GO:0006139,GO:0006950,GO:0009987,GO:0006725,GO:0044271,GO:0006807,GO:0051716,GO:0034654,GO:0071704,GO:0019438"
100,DNA biosynthetic process,GeneOntology,GO:0071897,biological_process,40200at33208,GO:0071897,102.0,False,"GO:1901360,GO:1901362,GO:0009059,GO:0009058,GO:0044238,GO:0044237,GO:0043170,GO:0046483,GO:0018130,GO:0071897,GO:0034641,GO:0090304,GO:0008150,GO:0008152,GO:1901576,GO:0044249,GO:0006259,GO:0006139,GO:0009987,GO:0006725,GO:0044271,GO:0006807,GO:0034654,GO:0071704,GO:0019438"
101,nucleus,GeneOntology,GO:0005634,cellular_component,40200at33208,GO:0005634,104.0,False,"GO:0043229,GO:0005634,GO:0043231,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227"
102,WASH complex,GeneOntology,GO:0071203,cellular_component,45934at33208,GO:0071203,154.0,False,"GO:0005737,GO:0032991,GO:0071203,GO:0110165,GO:0005575,GO:0005622"
103,WASH complex subunit 7,interpro,IPR027307,interpro_domains,45934at33208,IPR027307,136.0,,
104,"WASH complex subunit 7, central domain",interpro,IPR028282,interpro_domains,45934at33208,IPR028282,127.0,,
105,"WASH complex subunit 7, N-terminal",interpro,IPR028191,interpro_domains,45934at33208,IPR028191,126.0,,
106,"WASH complex subunit 7, C-terminal",interpro,IPR028283,interpro_domains,45934at33208,IPR028283,126.0,,
107,G: Carbohydrate transport and metabolism,text,G,functional_category,49474at33208,,,,
108,P: Inorganic ion transport and metabolism,text,P,functional_category,49474at33208,,,,
109,E: Amino acid transport and metabolism,text,E,functional_category,49474at33208,,,,
110,"Sec7, C-terminal domain superfamily",interpro,IPR023394,interpro_domains,49474at33208,IPR023394,111.0,,
111,Sec7 domain,interpro,IPR000904,interpro_domains,49474at33208,IPR000904,111.0,,
112,Sec7 domain superfamily,interpro,IPR035999,interpro_domains,49474at33208,IPR035999,111.0,,
113,"Guanine nucleotide exchange factor, N-terminal",interpro,IPR032691,interpro_domains,49474at33208,IPR032691,108.0,,
114,Armadillo-type fold,interpro,IPR016024,interpro_domains,49474at33208,IPR016024,70.0,,
115,ARF guanyl-nucleotide exchange factor activity,GeneOntology,GO:0005086,molecular_function,49474at33208,GO:0005086,147.0,False,"GO:1901363,GO:1901265,GO:0043167,GO:0036094,GO:0043168,GO:0060589,GO:0003674,GO:0000166,GO:0005525,GO:0098772,GO:0035639,GO:0140678,GO:0003824,GO:0097367,GO:0019001,GO:0003924,GO:0019003,GO:0140677,GO:0032561,GO:0016817,GO:0005085,GO:0016818,GO:0005488,GO:0097159,GO:0017076,GO:0032553,GO:0016462,GO:0017111,GO:0030695,GO:0030234,GO:0032555,GO:0016787"
116,regulation of ARF protein signal transduction,GeneOntology,GO:0032012,biological_process,49474at33208,GO:0032012,146.0,False,"GO:0065007,GO:0008150,GO:0032011,GO:0007154,GO:0007264,GO:0007165,GO:1902531,GO:0046578,GO:0007265,GO:0009966,GO:0009987,GO:0048583,GO:0050794,GO:0023051,GO:0051056,GO:0023052,GO:0051716,GO:0010646,GO:0032012,GO:0050789,GO:0035556,GO:0050896"
117,"L: Replication, recombination and repair",text,L,functional_category,50756at33208,,,,
118,"X: Mobilome: prophages, transposons",text,X,functional_category,50756at33208,,,,
119,K: Transcription,text,K,functional_category,50756at33208,,,,
120,nucleic acid binding,GeneOntology,GO:0003676,molecular_function,50756at33208,GO:0003676,145.0,False,"GO:0003676,GO:1901363,GO:0097159,GO:0005488,GO:0003674"
121,nucleotide binding,GeneOntology,GO:0000166,molecular_function,50756at33208,GO:0000166,144.0,False,"GO:0000166,GO:0097159,GO:1901363,GO:1901265,GO:0036094,GO:0005488,GO:0003674"
122,nucleoside binding,GeneOntology,GO:0001882,molecular_function,50756at33208,GO:0001882,137.0,False,"GO:1901363,GO:0097159,GO:0097367,GO:0036094,GO:0005488,GO:0003674,GO:0001882"
123,metal ion binding,GeneOntology,GO:0046872,molecular_function,50756at33208,GO:0046872,129.0,False,"GO:0046872,GO:0043167,GO:0043169,GO:0005488,GO:0003674"
124,"4 iron, 4 sulfur cluster binding",GeneOntology,GO:0051539,molecular_function,50756at33208,GO:0051539,129.0,False,"GO:0051540,GO:0051539,GO:0051536,GO:0005488,GO:0003674"
125,transferase activity,GeneOntology,GO:0016740,molecular_function,50756at33208,GO:0016740,125.0,False,"GO:0003824,GO:0016740,GO:0003674"
126,nucleotidyltransferase activity,GeneOntology,GO:0016779,molecular_function,50756at33208,GO:0016779,125.0,False,"GO:0016779,GO:0003824,GO:0016772,GO:0016740,GO:0003674"
127,iron-sulfur cluster binding,GeneOntology,GO:0051536,molecular_function,50756at33208,GO:0051536,122.0,False,"GO:0051540,GO:0005488,GO:0051536,GO:0003674"
128,,GeneOntology,GO:0003887,unclassified GO terms,50756at33208,GO:0003887,162.0,False,"GO:1901360,GO:1901362,GO:0009059,GO:0009058,GO:0044238,GO:0044237,GO:0003674,GO:0043170,GO:0046483,GO:0003887,GO:0018130,GO:0003824,GO:0071897,GO:0016772,GO:0034641,GO:0090304,GO:0008150,GO:0016779,GO:0140097,GO:0034061,GO:0008152,GO:1901576,GO:0044249,GO:0006259,GO:0006139,GO:0009987,GO:0006725,GO:0044271,GO:0006807,GO:0034654,GO:0016740,GO:0071704,GO:0019438,GO:0140640"
129,,GeneOntology,GO:0006260,unclassified GO terms,50756at33208,GO:0006260,157.0,False,"GO:0090304,GO:0008150,GO:1901360,GO:0006260,GO:0008152,GO:0006259,GO:0044238,GO:0006139,GO:0044237,GO:0009987,GO:0006725,GO:0043170,GO:0046483,GO:0006807,GO:0034641,GO:0071704"
130,,GeneOntology,GO:0003677,unclassified GO terms,50756at33208,GO:0003677,144.0,False,"GO:0003676,GO:0003677,GO:1901363,GO:0097159,GO:0005488,GO:0003674"
131,"DNA-directed DNA polymerase, family B, multifunctional domain",interpro,IPR006134,interpro_domains,50756at33208,IPR006134,123.0,,
132,Ribonuclease H-like superfamily,interpro,IPR012337,interpro_domains,50756at33208,IPR012337,122.0,,
133,"DNA-directed DNA polymerase, family B, exonuclease domain",interpro,IPR006133,interpro_domains,50756at33208,IPR006133,122.0,,
134,"DNA-directed DNA polymerase, family B",interpro,IPR006172,interpro_domains,50756at33208,IPR006172,120.0,,
135,Ribonuclease H superfamily,interpro,IPR036397,interpro_domains,50756at33208,IPR036397,120.0,,
136,"DNA-directed DNA polymerase, family B, conserved site",interpro,IPR017964,interpro_domains,50756at33208,IPR017964,119.0,,
137,"DNA polymerase, palm domain superfamily",interpro,IPR023211,interpro_domains,50756at33208,IPR023211,119.0,,
138,"DNA polymerase alpha, zinc finger domain superfamily",interpro,IPR038256,interpro_domains,50756at33208,IPR038256,115.0,,
139,"Zinc finger, DNA-directed DNA polymerase, family B, alpha",interpro,IPR015088,interpro_domains,50756at33208,IPR015088,115.0,,
140,"DNA polymerase alpha catalytic subunit, N-terminal domain",interpro,IPR024647,interpro_domains,50756at33208,IPR024647,111.0,,
141,DNA biosynthetic process,GeneOntology,GO:0071897,biological_process,50756at33208,GO:0071897,130.0,False,"GO:1901360,GO:1901362,GO:0009059,GO:0009058,GO:0044238,GO:0044237,GO:0043170,GO:0046483,GO:0018130,GO:0071897,GO:0034641,GO:0090304,GO:0008150,GO:0008152,GO:1901576,GO:0044249,GO:0006259,GO:0006139,GO:0009987,GO:0006725,GO:0044271,GO:0006807,GO:0034654,GO:0071704,GO:0019438"
142,nucleus,GeneOntology,GO:0005634,cellular_component,50756at33208,GO:0005634,146.0,False,"GO:0043229,GO:0005634,GO:0043231,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227"
143,T: Signal transduction mechanisms,text,T,functional_category,56573at33208,,,,
144,"O: Posttranslational modification, protein turnover, chaperones",text,O,functional_category,56573at33208,,,,
145,"L: Replication, recombination and repair",text,L,functional_category,56573at33208,,,,
146,Armadillo-type fold,interpro,IPR016024,interpro_domains,56573at33208,IPR016024,170.0,,
147,HEAT repeat,interpro,IPR000357,interpro_domains,56573at33208,IPR000357,101.0,,
148,protein import into nucleus,GeneOntology,GO:0006606,biological_process,56573at33208,GO:0006606,164.0,False,"GO:0070727,GO:0015031,GO:0008104,GO:0051170,GO:0006886,GO:0005575,GO:0051169,GO:0006913,GO:0051641,GO:0033036,GO:0051649,GO:0034504,GO:0008150,GO:0071705,GO:0046907,GO:0110165,GO:0006810,GO:0005622,GO:0009987,GO:0045184,GO:0072594,GO:0051234,GO:0051179,GO:0006606,GO:0033365,GO:0071702"
149,cell,GeneOntology,GO:0005623,cellular_component,56573at33208,GO:0005623,127.0,True,
150,"L: Replication, recombination and repair",text,L,functional_category,57158at33208,,,,
151,I: Lipid transport and metabolism,text,I,functional_category,57158at33208,,,,
152,"Q: Secondary metabolites biosynthesis, transport and catabolism",text,Q,functional_category,57158at33208,,,,
153,K: Transcription,text,K,functional_category,57158at33208,,,,
154,WD40/YVTN repeat-like-containing domain superfamily,interpro,IPR015943,interpro_domains,57158at33208,IPR015943,240.0,,
155,"Cleavage/polyadenylation specificity factor, A subunit, C-terminal",interpro,IPR004871,interpro_domains,57158at33208,IPR004871,234.0,,
156,WD40-repeat-containing domain superfamily,interpro,IPR036322,interpro_domains,57158at33208,IPR036322,231.0,,
157,nucleic acid binding,GeneOntology,GO:0003676,molecular_function,57158at33208,GO:0003676,173.0,False,"GO:0003676,GO:1901363,GO:0097159,GO:0005488,GO:0003674"
158,nucleus,GeneOntology,GO:0005634,cellular_component,57158at33208,GO:0005634,186.0,False,"GO:0043229,GO:0005634,GO:0043231,GO:0043226,GO:0110165,GO:0005575,GO:0005622,GO:0043227"
159,spliceosomal complex assembly,GeneOntology,GO:0000245,biological_process,63697at33208,GO:0000245,151.0,False,"GO:0008380,GO:1901360,GO:0022607,GO:0044238,GO:0044237,GO:0000377,GO:0000398,GO:0043170,GO:0046483,GO:0044085,GO:0016070,GO:0016071,GO:0034641,GO:0090304,GO:0008150,GO:0043933,GO:0071826,GO:0065003,GO:0008152,GO:0022618,GO:0006396,GO:0022613,GO:0006397,GO:0006139,GO:0009987,GO:0000245,GO:0000375,GO:0006725,GO:0006807,GO:0016043,GO:0010467,GO:0071840,GO:0071704"
160,mRNA binding,GeneOntology,GO:0003729,molecular_function,63697at33208,GO:0003729,151.0,False,"GO:0003676,GO:0003723,GO:1901363,GO:0097159,GO:0003729,GO:0005488,GO:0003674"
161,Splicing factor 3B subunit 1-like,interpro,IPR038737,interpro_domains,63697at33208,IPR038737,202.0,,
162,Armadillo-type fold,interpro,IPR016024,interpro_domains,63697at33208,IPR016024,202.0,,
163,Armadillo-like helical,interpro,IPR011989,interpro_domains,63697at33208,IPR011989,201.0,,
