# BUSCO version is: 5.4.5 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
321332at33208	Missing
323399at33208	Complete	scaffold_1	25871287	25877581	-	457.9	378
323473at33208	Complete	scaffold_3	17757034	17760525	+	401.6	261
324249at33208	Missing
325183at33208	Complete	scaffold_3	13985477	13990362	-	389.4	345
327301at33208	Missing
331112at33208	Complete	scaffold_2	29221384	29228177	-	351.0	375
331186at33208	Missing
332870at33208	Fragmented	scaffold_2	21436394	21437125	+	100.1	89
333062at33208	Complete	scaffold_1	6769907	6777624	-	354.4	325
333800at33208	Missing
334272at33208	Missing
334331at33208	Complete	scaffold_2	18937955	18943081	-	649.9	420
334336at33208	Duplicated	scaffold_295	11882	20069	-	487.0	371
334336at33208	Duplicated	scaffold_3	10891824	10901270	-	511.9	371
334342at33208	Fragmented	scaffold_1	34769021	34776629	+	258.7	291
334764at33208	Complete	scaffold_2	27004839	27006437	-	263.7	280
334820at33208	Missing
335107at33208	Missing
336647at33208	Missing
338191at33208	Complete	scaffold_3	19050084	19060719	+	607.2	386
338482at33208	Complete	scaffold_1	31561735	31563994	+	261.2	295
339127at33208	Fragmented	scaffold_4	16074823	16078201	+	117.0	186
339319at33208	Fragmented	scaffold_1	26264878	26265321	+	56.6	76
340558at33208	Complete	scaffold_2	39841257	39846092	-	294.4	235
340577at33208	Missing
344338at33208	Complete	scaffold_2	45026287	45030132	+	383.6	307
344346at33208	Missing
344442at33208	Missing
344581at33208	Complete	scaffold_2	16448070	16448969	+	328.2	243
344611at33208	Missing
345099at33208	Missing
345959at33208	Missing
346541at33208	Missing
347600at33208	Complete	scaffold_1	10345813	10347498	-	395.7	277
348449at33208	Fragmented	scaffold_11	243031	246219	+	109.9	125
348544at33208	Fragmented	scaffold_4	19072180	19092611	-	308.5	204
348761at33208	Complete	scaffold_1	25811743	25818079	+	288.3	227
349064at33208	Complete	scaffold_4	30554526	30559204	+	339.4	287
349627at33208	Complete	scaffold_2	1035957	1038965	-	98.7	164
351226at33208	Missing
352600at33208	Complete	scaffold_3	26091541	26099080	-	480.0	290
352854at33208	Complete	scaffold_4	18744310	18791416	+	386.6	332
353286at33208	Fragmented	scaffold_9	422253	422662	-	118.1	90
353768at33208	Missing
354829at33208	Complete	scaffold_4	33153691	33158075	+	473.3	246
354949at33208	Fragmented	scaffold_1	30266483	30269484	+	89.2	101
355210at33208	Fragmented	scaffold_17	76562	81993	+	298.1	221
355739at33208	Fragmented	scaffold_3	19952661	19986253	-	164.4	135
356175at33208	Missing
356334at33208	Fragmented	scaffold_2	44161106	44169460	+	145.5	196
356503at33208	Fragmented	scaffold_1	42948861	42950293	-	80.1	65
357580at33208	Complete	scaffold_2	7447553	7450127	-	311.6	248
359075at33208	Complete	scaffold_1	33771879	33789298	+	360.5	281
359324at33208	Missing
359369at33208	Complete	scaffold_2	31117235	31119496	-	265.7	254
359532at33208	Missing
360379at33208	Missing
360753at33208	Missing
361100at33208	Missing
361203at33208	Complete	scaffold_2	12791745	12795941	-	503.6	365
361216at33208	Missing
363634at33208	Complete	scaffold_3	12040622	12047712	-	137.1	179
363840at33208	Complete	scaffold_2	27613247	27614557	+	69.3	262
363851at33208	Complete	scaffold_1	39770805	39771977	+	186.1	319
364383at33208	Complete	scaffold_1	44511607	44516283	-	386.3	332
364694at33208	Complete	scaffold_2	3806684	3811859	-	505.9	303
365323at33208	Missing
365561at33208	Complete	scaffold_2	12371668	12377773	+	554.2	369
365691at33208	Fragmented	scaffold_3	24043096	24044855	+	65.4	74
366124at33208	Complete	scaffold_4	12221851	12231721	-	224.6	199
366814at33208	Duplicated	scaffold_161	3668	8485	-	480.5	356
366814at33208	Duplicated	scaffold_2	6884860	6890830	+	483.6	356
366936at33208	Complete	scaffold_2	26043968	26060407	+	394.3	217
367493at33208	Missing
367551at33208	Complete	scaffold_2	35817901	35822930	-	472.9	308
367596at33208	Fragmented	scaffold_2	159642	163507	+	175.3	217
367957at33208	Duplicated	scaffold_2	39649987	39651180	+	401.9	297
367957at33208	Duplicated	scaffold_502	11132	12337	-	401.3	294
368565at33208	Missing
368670at33208	Complete	scaffold_4	22325822	22327378	+	191.8	179
368875at33208	Complete	scaffold_1	43028297	43029969	+	205.9	141
371241at33208	Complete	scaffold_2	26989705	26995854	-	227.6	148
371297at33208	Complete	scaffold_3	83342	88759	-	473.1	325
371526at33208	Complete	scaffold_4	24671214	24673061	+	405.2	236
372257at33208	Complete	scaffold_2	28927778	28931045	-	196.8	177
372707at33208	Complete	scaffold_103	39020	43036	+	255.9	192
373040at33208	Complete	scaffold_1	28711102	28712346	-	409.5	248
376982at33208	Complete	scaffold_4	17055690	17059769	+	462.9	251
378033at33208	Complete	scaffold_3	7666287	7669065	-	211.8	256
378316at33208	Complete	scaffold_1	15986837	15990320	-	409.0	275
378768at33208	Complete	scaffold_1	27833744	27838048	+	434.3	256
378913at33208	Missing
379076at33208	Missing
379636at33208	Fragmented	scaffold_2	14634370	14638892	+	208.0	185
379771at33208	Fragmented	scaffold_5	991571	993572	-	64.0	63
380583at33208	Complete	scaffold_1	25471390	25476298	+	446.1	273
381303at33208	Missing
382000at33208	Missing
382262at33208	Complete	scaffold_4	25127939	25129905	+	75.4	77
382750at33208	Complete	scaffold_2	37500535	37506299	-	149.1	260
383313at33208	Complete	scaffold_4	27828156	27833089	+	221.8	253
384187at33208	Duplicated	scaffold_2	11214738	11220048	-	596.3	376
384187at33208	Duplicated	scaffold_2	12821275	12826350	-	596.9	374
386666at33208	Missing
387079at33208	Missing
387117at33208	Complete	scaffold_60	59573	64356	-	128.5	178
387878at33208	Complete	scaffold_3	8988036	8991396	-	150.4	269
389367at33208	Complete	scaffold_1	29098729	29100471	+	286.1	229
389527at33208	Fragmented	scaffold_3	30140391	30152083	+	156.6	179
389570at33208	Complete	scaffold_3	7059918	7065010	+	347.8	305
389591at33208	Complete	scaffold_4	30165436	30171261	+	159.5	175
390192at33208	Complete	scaffold_1	17980732	17982527	-	306.0	295
390402at33208	Missing
391896at33208	Complete	scaffold_3	4122932	4129763	+	310.9	264
393219at33208	Missing
393291at33208	Complete	scaffold_3	8608057	8614780	+	177.4	255
393419at33208	Missing
393895at33208	Complete	scaffold_2	10026043	10030972	+	379.7	302
395147at33208	Complete	scaffold_2	10535720	10538906	-	202.6	229
395183at33208	Complete	scaffold_1	33578101	33582505	-	217.4	171
395556at33208	Complete	scaffold_3	17924672	17925746	-	212.3	191
395919at33208	Fragmented	scaffold_4	10873906	10876350	-	157.7	160
395948at33208	Fragmented	scaffold_4	18386097	18386486	+	73.0	76
396237at33208	Complete	scaffold_3	18239608	18242833	-	233.6	179
397019at33208	Complete	scaffold_3	31414182	31416761	+	440.0	267
397659at33208	Missing
398013at33208	Complete	scaffold_1	45266024	45268501	-	434.3	273
398202at33208	Missing
398607at33208	Missing
399092at33208	Complete	scaffold_3	18354177	18356842	+	238.5	177
399439at33208	Missing
400042at33208	Complete	scaffold_2	7599720	7601059	+	151.9	228
401196at33208	Complete	scaffold_1	31023175	31027023	-	170.5	165
401220at33208	Missing
401679at33208	Missing
401779at33208	Complete	scaffold_5	452490	455338	-	412.4	242
403171at33208	Missing
403817at33208	Missing
404988at33208	Duplicated	scaffold_1	35809904	35811601	+	212.0	335
404988at33208	Duplicated	scaffold_372	8784	10520	+	196.4	334
405257at33208	Missing
406927at33208	Fragmented	scaffold_1	1427969	1428637	-	77.6	66
407472at33208	Fragmented	scaffold_2	34396883	34398151	-	315.7	219
409006at33208	Complete	scaffold_4	15923093	15930333	-	270.9	270
409186at33208	Missing
411515at33208	Fragmented	scaffold_1	17516681	17517081	-	77.1	74
411664at33208	Missing
411755at33208	Complete	scaffold_2	22217855	22239158	-	324.8	313
412370at33208	Fragmented	scaffold_96	36770	41192	+	81.1	99
412542at33208	Complete	scaffold_3	34019523	34029641	-	209.5	175
412930at33208	Missing
413334at33208	Missing
414001at33208	Complete	scaffold_3	15396063	15398562	-	420.5	274
414571at33208	Complete	scaffold_1	43764779	43770805	+	370.4	209
414579at33208	Complete	scaffold_8	497271	500361	-	242.8	191
414603at33208	Fragmented	scaffold_2	26270761	26274934	-	73.3	86
415618at33208	Complete	scaffold_4	20609570	20638695	+	165.1	142
416175at33208	Complete	scaffold_1	33516168	33516817	+	177.9	193
418979at33208	Duplicated	scaffold_160	22174	26274	+	148.0	144
418979at33208	Duplicated	scaffold_2	6723159	6728878	+	147.9	122
419502at33208	Complete	scaffold_2	38121401	38126108	+	196.0	153
419914at33208	Complete	scaffold_238	23833	29270	-	199.2	290
421396at33208	Missing
421685at33208	Fragmented	scaffold_3	24790264	24793787	-	79.0	88
421732at33208	Missing
422158at33208	Missing
422751at33208	Complete	scaffold_1	31513833	31518161	+	512.2	342
423799at33208	Complete	scaffold_4	26716070	26718693	-	238.7	207
423848at33208	Missing
424392at33208	Complete	scaffold_1	33398708	33401388	+	365.2	230
424569at33208	Duplicated	scaffold_1	34991746	34994149	+	237.3	154
424569at33208	Duplicated	scaffold_1	35019874	35022344	-	237.2	154
424646at33208	Missing
427349at33208	Fragmented	scaffold_4	10918108	10922247	-	131.1	129
427789at33208	Complete	scaffold_4	4670590	4680610	+	581.6	394
428202at33208	Fragmented	scaffold_3	35659104	35667398	+	270.3	219
428754at33208	Missing
429011at33208	Missing
429274at33208	Fragmented	scaffold_4	13637121	13638579	-	180.3	125
429751at33208	Missing
430701at33208	Missing
432050at33208	Complete	scaffold_4	21449770	21450959	+	377.0	241
432155at33208	Missing
432287at33208	Missing
432522at33208	Missing
433216at33208	Missing
433606at33208	Missing
434068at33208	Complete	scaffold_2	5177926	5185982	-	519.8	382
434863at33208	Complete	scaffold_3	16114352	16121851	-	226.9	238
435253at33208	Missing
435678at33208	Complete	scaffold_66	55337	57407	+	156.3	205
435921at33208	Complete	scaffold_2	28603067	28604548	-	155.3	106
435939at33208	Complete	scaffold_1	14582092	14588855	+	126.5	123
436007at33208	Complete	scaffold_1	4404022	4415109	+	368.5	335
436098at33208	Missing
436539at33208	Missing
437653at33208	Complete	scaffold_3	31968150	31971803	-	149.2	140
438133at33208	Complete	scaffold_3	30443045	30444283	-	473.7	299
438433at33208	Complete	scaffold_1	26191559	26194772	-	281.1	202
438453at33208	Complete	scaffold_2	16577912	16584500	+	352.6	255
439736at33208	Missing
440195at33208	Complete	scaffold_30	42424	44451	+	199.0	175
440493at33208	Missing
441575at33208	Missing
442169at33208	Missing
442203at33208	Complete	scaffold_1	33890603	33898668	-	361.4	339
442823at33208	Missing
443305at33208	Missing
443518at33208	Complete	scaffold_3	22439090	22446716	-	289.6	235
443659at33208	Duplicated	scaffold_2	42402195	42405042	+	179.4	126
443659at33208	Duplicated	scaffold_6	604366	607270	+	181.1	126
443928at33208	Complete	scaffold_3	30167931	30198432	-	321.9	291
444160at33208	Complete	scaffold_4	28853505	28854200	+	204.0	159
444231at33208	Complete	scaffold_4	14945906	14946582	-	63.8	110
445031at33208	Missing
445034at33208	Fragmented	scaffold_1	32255723	32258589	+	251.8	218
445091at33208	Complete	scaffold_1	19338452	19353305	-	155.4	167
446000at33208	Complete	scaffold_1	11830716	11832939	-	254.7	182
446031at33208	Missing
447320at33208	Missing
447400at33208	Missing
448196at33208	Complete	scaffold_3	7828111	7829886	+	357.2	218
448514at33208	Missing
449056at33208	Missing
449139at33208	Missing
449189at33208	Missing
450643at33208	Missing
450785at33208	Complete	scaffold_1	42393247	42396911	-	116.9	92
451242at33208	Duplicated	scaffold_219	11548	13715	+	107.3	162
451242at33208	Duplicated	scaffold_2	3729113	3733578	-	105.4	161
451957at33208	Fragmented	scaffold_4	24606895	24610616	-	291.6	212
452208at33208	Complete	scaffold_4	17634764	17637724	+	153.5	152
452499at33208	Complete	scaffold_2	12349898	12369179	-	319.9	254
452574at33208	Missing
453049at33208	Missing
453052at33208	Fragmented	scaffold_4	27180617	27183903	-	256.4	212
453056at33208	Missing
453687at33208	Complete	scaffold_4	29596140	29597418	+	230.2	276
454911at33208	Missing
455512at33208	Complete	scaffold_2	382900	383494	-	168.7	159
455941at33208	Missing
456998at33208	Missing
457777at33208	Complete	scaffold_2	13648176	13655197	+	244.1	231
458807at33208	Complete	scaffold_3	20135816	20140301	-	256.8	243
458974at33208	Complete	scaffold_2	31121758	31123198	+	102.2	152
458988at33208	Duplicated	scaffold_1	37306021	37314685	-	460.1	424
458988at33208	Duplicated	scaffold_1	37348879	37357084	+	461.7	423
459253at33208	Complete	scaffold_3	3261274	3262166	+	293.4	211
460044at33208	Complete	scaffold_3	7830055	7835675	-	281.6	276
460518at33208	Complete	scaffold_3	4858531	4866738	+	384.0	270
461123at33208	Missing
461193at33208	Complete	scaffold_1	27774449	27780439	+	139.2	131
462325at33208	Complete	scaffold_1	41367203	41369724	-	258.5	271
462897at33208	Complete	scaffold_3	9267589	9279354	+	215.1	243
463071at33208	Missing
464204at33208	Missing
464243at33208	Missing
464286at33208	Missing
464312at33208	Fragmented	scaffold_3	19144606	19146990	+	86.4	163
464987at33208	Complete	scaffold_4	21918823	21919485	+	112.5	112
465092at33208	Complete	scaffold_3	7239636	7243033	-	298.4	218
465401at33208	Complete	scaffold_1	30703500	30704327	+	225.6	202
465512at33208	Complete	scaffold_3	7244126	7246339	+	167.2	425
465651at33208	Complete	scaffold_1	34886877	34888234	+	87.1	121
465703at33208	Complete	scaffold_1	18115426	18117989	+	220.1	190
465933at33208	Complete	scaffold_1	34555687	34559112	-	249.9	223
466616at33208	Fragmented	scaffold_1	18604816	18608892	-	130.2	212
466942at33208	Missing
467106at33208	Complete	scaffold_2	30219929	30223562	+	236.2	236
467142at33208	Fragmented	scaffold_70	9631	12504	+	63.5	97
467744at33208	Complete	scaffold_1	36059209	36060568	-	226.4	242
468248at33208	Complete	scaffold_1	24703927	24711696	-	353.4	263
468359at33208	Complete	scaffold_4	21883977	21897803	-	259.6	232
468631at33208	Complete	scaffold_4	28462864	28468551	-	104.9	157
468710at33208	Complete	scaffold_1	19670199	19670738	+	149.0	155
468757at33208	Complete	scaffold_2	37634577	37638729	+	278.3	271
469367at33208	Missing
470197at33208	Missing
470523at33208	Duplicated	scaffold_1	1786949	1794499	+	189.5	195
470523at33208	Duplicated	scaffold_4	1275176	1277401	-	219.3	195
471608at33208	Complete	scaffold_2	38096929	38098076	-	178.8	209
471787at33208	Complete	scaffold_9	392483	405512	-	287.8	239
472313at33208	Complete	scaffold_3	17751436	17756594	-	314.9	243
472352at33208	Complete	scaffold_3	33260464	33262954	-	121.2	141
473106at33208	Fragmented	scaffold_2	20020958	20094647	+	294.3	161
474144at33208	Complete	scaffold_3	22197419	22198131	-	130.6	198
474302at33208	Missing
474387at33208	Complete	scaffold_2	37901753	37906570	+	188.1	220
475826at33208	Complete	scaffold_1	45382091	45386383	-	183.3	208
476036at33208	Complete	scaffold_2	32544305	32545866	+	273.1	224
477052at33208	Complete	scaffold_1	19239453	19240553	-	176.3	221
477939at33208	Complete	scaffold_2	36712464	36715180	-	106.2	214
477998at33208	Missing
478073at33208	Complete	scaffold_4	25968970	25970798	+	395.5	226
478984at33208	Duplicated	scaffold_2	35231150	35232150	-	246.1	244
478984at33208	Duplicated	scaffold_562	6336	7339	-	244.3	255
480700at33208	Missing
480735at33208	Complete	scaffold_1	26865432	26871968	-	173.7	189
481557at33208	Missing
482691at33208	Complete	scaffold_4	27428978	27434563	+	267.3	246
483489at33208	Complete	scaffold_2	7480007	7482589	-	197.0	260
485003at33208	Fragmented	scaffold_1	29849757	29853888	+	50.9	123
485696at33208	Complete	scaffold_2	3055218	3056043	+	139.7	184
486370at33208	Fragmented	scaffold_3	18271383	18271937	-	130.8	137
486431at33208	Fragmented	scaffold_3	13723435	13725311	-	161.1	185
486743at33208	Missing
486993at33208	Complete	scaffold_2	11916199	11927363	-	264.2	252
487873at33208	Missing
487987at33208	Complete	scaffold_2	2109914	2117467	-	133.6	121
488559at33208	Missing
488635at33208	Missing
489359at33208	Fragmented	scaffold_1	37125808	37125975	-	51.2	54
489858at33208	Fragmented	scaffold_4	13794012	13795458	+	98.6	109
489997at33208	Missing
490248at33208	Complete	scaffold_3	16211447	16212026	-	178.4	141
490961at33208	Missing
491252at33208	Complete	scaffold_4	36077024	36077717	-	110.1	153
491289at33208	Complete	scaffold_2	36891697	36897484	-	280.0	245
492033at33208	Complete	scaffold_2	3408159	3411401	+	288.6	173
493148at33208	Complete	scaffold_2	4430936	4431544	+	92.5	133
493505at33208	Missing
493913at33208	Complete	scaffold_4	27822215	27827118	+	290.1	207
494057at33208	Complete	scaffold_1	13539338	13540250	-	107.6	142
495100at33208	Complete	scaffold_4	10610681	10617753	-	339.0	211
495175at33208	Complete	scaffold_4	3505350	3506482	+	198.0	181
495207at33208	Complete	scaffold_3	37111971	37117247	+	140.3	171
495311at33208	Complete	scaffold_4	26715028	26716018	+	199.0	161
495329at33208	Missing
495389at33208	Fragmented	scaffold_3	26216963	26222044	-	123.4	128
