# BUSCO version is: 5.4.5 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
224280at33208	Complete	scaffold_647_1	610479	614633	-	712.1	427
226335at33208	Missing
226941at33208	Complete	contig_1039_1	52335	71597	+	437.7	364
227087at33208	Complete	scaffold_1081_1	759156	762422	-	335.9	711
227453at33208	Complete	contig_1110_1	656792	673872	-	299.3	291
227979at33208	Complete	contig_656_1	244699	264531	-	420.5	396
231157at33208	Complete	contig_895_1	261357	262970	+	425.0	422
231700at33208	Missing
234290at33208	Complete	contig_2265_1	111559	140703	+	290.2	311
235149at33208	Complete	contig_572_1	1433909	1435849	+	174.3	406
235430at33208	Complete	contig_1312_1	45055	56227	-	289.0	337
235458at33208	Complete	contig_789_1	314987	316204	-	262.0	328
239016at33208	Complete	contig_1137_1	396259	412503	+	275.0	388
239149at33208	Missing
239597at33208	Missing
240437at33208	Complete	contig_690_1	1258295	1259209	+	354.5	252
244863at33208	Missing
245482at33208	Complete	contig_1117_1	36129	55811	-	433.2	347
245567at33208	Missing
246241at33208	Complete	contig_1047_1	57911	59305	+	336.6	367
247183at33208	Missing
247905at33208	Missing
249486at33208	Complete	scaffold_3838_1	232891	234447	+	366.6	419
251076at33208	Complete	scaffold_769_1	918673	941545	-	373.9	262
251577at33208	Complete	contig_3752_1	314348	315769	-	107.6	246
255117at33208	Complete	contig_3770_1	68868	107721	-	789.2	537
255242at33208	Complete	contig_1429_1	323776	324816	-	117.5	210
255924at33208	Complete	contig_590_1	270271	272208	+	525.4	506
257141at33208	Fragmented	contig_690_1	601000	614695	+	125.3	156
257339at33208	Missing
259581at33208	Missing
260752at33208	Missing
261284at33208	Fragmented	contig_604_1	507649	515029	-	117.9	200
261614at33208	Complete	contig_740_1	287235	289142	+	625.5	522
262757at33208	Complete	contig_588_1	119075	120325	+	236.5	246
266460at33208	Fragmented	contig_1160_1	1009449	1017703	+	339.0	316
266469at33208	Complete	scaffold_647_1	3717	4931	+	157.4	207
266808at33208	Complete	scaffold_836_1	887629	888888	-	346.1	330
267439at33208	Complete	scaffold_1096_1	751807	768742	+	606.7	384
268134at33208	Missing
268397at33208	Complete	contig_1335_1	909086	911476	-	540.4	635
270594at33208	Complete	contig_2162_1	443534	450583	+	222.9	320
271297at33208	Complete	contig_590_1	439704	440525	+	217.3	229
271742at33208	Complete	contig_1034_1	1163843	1165615	-	422.3	405
272605at33208	Missing
273040at33208	Complete	contig_2255_1	10418	11605	-	157.7	107
273367at33208	Complete	contig_977_1	317996	319261	+	70.4	162
273989at33208	Complete	contig_1149_1	673120	681224	+	376.7	396
274044at33208	Fragmented	contig_790_1	569208	581808	-	247.3	210
274064at33208	Missing
274769at33208	Complete	contig_303_1	936727	954927	-	339.3	323
274992at33208	Complete	contig_1864_1	456524	475761	+	619.1	352
277935at33208	Missing
278227at33208	Complete	scaffold_1613_1	420613	421941	-	333.1	344
279631at33208	Missing
279992at33208	Complete	contig_3158_1	39455	40795	-	190.8	275
280914at33208	Complete	contig_1135_1	74760	76817	+	168.3	499
281304at33208	Missing
281693at33208	Missing
283637at33208	Complete	contig_793_1	143644	156413	-	440.6	361
284059at33208	Missing
285146at33208	Complete	contig_523_1	14028	21335	-	290.8	309
285902at33208	Fragmented	contig_2023_1	126935	139977	-	73.2	211
285966at33208	Missing
286553at33208	Missing
289235at33208	Missing
289928at33208	Complete	contig_280_1	355163	391247	-	166.9	293
291505at33208	Complete	contig_417_1	589597	591612	-	383.1	440
291875at33208	Complete	scaffold_521_1	291910	293037	-	190.9	311
295556at33208	Missing
295775at33208	Complete	contig_2041_1	35208	36293	-	231.1	267
300303at33208	Complete	contig_3005_1	167385	169100	+	148.7	277
301572at33208	Complete	contig_632_1	450752	452347	+	465.3	404
302186at33208	Fragmented	contig_184_1	446765	448282	+	39.2	172
302279at33208	Missing
302921at33208	Missing
303117at33208	Missing
304388at33208	Missing
305260at33208	Complete	contig_189_1	226020	232936	+	413.1	387
306101at33208	Complete	contig_786_1	301013	313156	-	225.7	262
307109at33208	Complete	contig_609_1	465496	477201	-	422.1	328
308610at33208	Complete	contig_290_1	444405	454391	-	225.0	271
311438at33208	Missing
311758at33208	Complete	contig_1253_1	409252	421938	-	454.2	391
311761at33208	Fragmented	contig_1137_1	246255	247742	+	109.0	268
312577at33208	Missing
313091at33208	Complete	contig_767_1	210151	220837	+	365.7	256
315044at33208	Missing
315393at33208	Complete	scaffold_1096_1	702010	726698	-	453.2	296
317470at33208	Missing
318483at33208	Missing
318532at33208	Complete	scaffold_2159_1	35064	36473	-	573.6	336
319574at33208	Complete	contig_984_1	292949	293884	-	153.4	223
320390at33208	Fragmented	scaffold_3860_1	194551	194823	+	65.2	84
321332at33208	Fragmented	contig_817_1	521559	522134	+	59.6	153
323399at33208	Complete	contig_1889_1	225164	234956	-	381.6	321
323473at33208	Complete	contig_3707_1	181850	188545	-	428.5	281
324249at33208	Missing
325183at33208	Missing
327301at33208	Missing
331112at33208	Complete	contig_352_1	966131	984348	-	400.6	394
331186at33208	Missing
332870at33208	Complete	contig_789_1	184431	197648	-	185.3	180
333062at33208	Complete	scaffold_2311_1	432055	449395	-	323.8	285
333800at33208	Complete	contig_352_1	1552227	1554131	-	147.6	449
334272at33208	Missing
334331at33208	Complete	contig_1135_1	172813	187356	-	391.9	279
334336at33208	Complete	contig_609_1	1369931	1371475	+	372.0	429
334342at33208	Complete	contig_658_1	1006862	1009849	-	376.1	640
334764at33208	Complete	contig_1137_1	381302	382441	-	270.4	291
334820at33208	Missing
335107at33208	Missing
336647at33208	Missing
338191at33208	Complete	contig_899_1	249271	261049	+	568.4	328
338482at33208	Fragmented	contig_819_1	128440	138179	+	234.9	253
339127at33208	Complete	contig_609_1	1951172	1952668	+	175.3	352
339319at33208	Missing
340558at33208	Complete	scaffold_3728_1	1347923	1350076	-	350.0	242
340577at33208	Missing
344338at33208	Complete	contig_372_1	285752	337426	+	325.7	304
344346at33208	Fragmented	scaffold_3838_1	1096768	1106138	+	82.4	101
344442at33208	Fragmented	contig_1160_1	1264968	1269545	-	99.5	120
344581at33208	Complete	scaffold_1026_1	1333990	1346722	-	256.6	211
344611at33208	Missing
345099at33208	Complete	contig_83_1	824781	827201	+	238.3	642
345959at33208	Missing
346541at33208	Missing
347600at33208	Complete	contig_2575_1	98483	99625	-	415.8	320
348449at33208	Complete	contig_490_1	214404	215390	-	182.6	282
348544at33208	Complete	contig_348_1	290261	314965	-	275.8	251
348761at33208	Complete	contig_871_1	396819	409731	+	135.7	195
349064at33208	Complete	contig_1162_1	244041	245231	+	305.7	277
349627at33208	Fragmented	scaffold_1244_1	702558	708890	-	91.7	144
351226at33208	Complete	contig_619_1	268876	269775	+	55.3	168
352600at33208	Complete	contig_959_1	180746	198624	+	387.4	252
352854at33208	Complete	contig_3572_1	69529	80871	-	347.2	331
353286at33208	Complete	contig_3894_1	1363	2403	-	156.0	246
353768at33208	Missing
354829at33208	Complete	contig_947_1	383417	384331	+	411.4	250
354949at33208	Complete	scaffold_1613_1	705106	706314	+	206.6	295
355210at33208	Complete	contig_2061_1	58222	59955	-	278.2	440
355739at33208	Missing
356175at33208	Missing
356334at33208	Missing
356503at33208	Complete	scaffold_2573_1	912504	913517	+	250.5	268
357580at33208	Complete	contig_848_1	667489	679591	-	333.7	253
359075at33208	Complete	contig_3592_1	185	39440	-	285.5	277
359324at33208	Complete	contig_2339_1	105733	106602	+	208.9	206
359369at33208	Complete	contig_749_1	974473	986573	-	294.3	241
359532at33208	Missing
360379at33208	Missing
360753at33208	Missing
361100at33208	Missing
361203at33208	Complete	contig_1184_1	129474	130763	-	460.5	367
361216at33208	Missing
363634at33208	Fragmented	contig_1727_1	90840	95826	+	89.8	132
363840at33208	Missing
363851at33208	Complete	contig_609_1	1280577	1281434	+	221.2	248
364383at33208	Complete	contig_1889_1	241380	251641	+	335.8	300
364694at33208	Complete	contig_805_1	90007	92016	+	637.8	457
365323at33208	Missing
365561at33208	Complete	contig_305_1	342112	343386	-	450.7	346
365691at33208	Fragmented	contig_72_1	716386	718902	-	57.4	101
366124at33208	Missing
366814at33208	Complete	contig_609_1	112942	127975	+	259.4	256
366936at33208	Complete	scaffold_3838_1	1012094	1034892	+	374.4	213
367493at33208	Missing
367551at33208	Complete	contig_978_1	334323	335996	+	443.1	374
367596at33208	Fragmented	contig_1014_1	264605	265127	+	78.8	142
367957at33208	Duplicated	contig_577_1	58444	59658	-	365.7	296
367957at33208	Duplicated	contig_577_1	29935	31149	+	363.5	296
368565at33208	Missing
368670at33208	Fragmented	contig_984_1	570754	572635	+	154.7	152
368875at33208	Complete	contig_1348_1	72745	73500	+	172.1	184
371241at33208	Complete	contig_529_1	53343	94495	+	232.4	169
371297at33208	Complete	scaffold_521_1	2541	25819	-	378.2	327
371526at33208	Complete	scaffold_647_1	1091704	1092528	-	412.4	236
372257at33208	Complete	scaffold_3033_1	195454	196359	+	190.7	190
372707at33208	Fragmented	contig_3603_1	100636	105496	-	164.9	122
373040at33208	Complete	scaffold_3838_1	12244	20465	+	294.8	249
376982at33208	Complete	contig_871_1	464703	470019	+	449.2	255
378033at33208	Fragmented	contig_1754_1	493718	496906	+	89.8	75
378316at33208	Complete	contig_632_1	2461809	2462807	-	418.2	268
378768at33208	Complete	contig_184_1	349736	364013	-	429.2	256
378913at33208	Missing
379076at33208	Missing
379636at33208	Complete	contig_1034_1	119376	125073	-	153.2	205
379771at33208	Complete	contig_2312_1	30512	32143	-	202.9	243
380583at33208	Complete	contig_1377_1	191427	192368	+	427.0	272
381303at33208	Missing
382000at33208	Missing
382262at33208	Fragmented	contig_1335_1	425880	426110	+	23.6	35
382750at33208	Fragmented	contig_424_1	136612	137911	+	113.5	141
383313at33208	Complete	contig_834_1	577346	578482	+	259.8	274
384187at33208	Complete	contig_1715_1	76105	77667	+	632.2	422
386666at33208	Missing
387079at33208	Missing
387117at33208	Missing
387878at33208	Complete	contig_834_1	648050	662232	+	240.0	250
389367at33208	Complete	contig_1175_1	9892	10728	-	299.4	230
389527at33208	Complete	contig_632_1	2534826	2536265	-	116.4	415
389570at33208	Complete	scaffold_2573_1	235309	241340	+	374.4	293
389591at33208	Complete	contig_189_1	437159	437980	+	207.5	204
390192at33208	Complete	contig_609_1	203348	204550	+	331.6	315
390402at33208	Missing
391896at33208	Complete	scaffold_1026_1	1077352	1091375	+	260.3	264
393219at33208	Fragmented	contig_936_1	324564	337120	-	73.8	98
393291at33208	Missing
393419at33208	Complete	contig_1253_1	440405	442015	+	238.6	373
393895at33208	Complete	contig_3720_1	16792	29774	+	342.0	325
395147at33208	Complete	contig_507_1	754554	771333	-	224.1	227
395183at33208	Complete	contig_665_1	754179	767059	-	272.2	168
395556at33208	Complete	contig_846_1	291796	292740	+	218.8	248
395919at33208	Complete	contig_656_1	463171	464274	+	227.4	277
395948at33208	Fragmented	contig_2125_1	93626	96999	+	59.6	73
396237at33208	Missing
397019at33208	Complete	contig_3684_1	35690	46392	+	466.0	289
397659at33208	Missing
398013at33208	Complete	contig_2719_1	103815	104753	+	446.4	279
398202at33208	Missing
398607at33208	Missing
399092at33208	Complete	contig_2719_1	38824	39780	+	261.2	184
399439at33208	Missing
400042at33208	Complete	contig_781_1	53793	54782	-	164.5	274
401196at33208	Complete	contig_3770_1	24055	26716	-	139.9	137
401220at33208	Complete	contig_773_1	1435991	1437007	+	277.8	331
401679at33208	Missing
401779at33208	Complete	contig_305_1	505730	509182	+	381.8	263
403171at33208	Complete	contig_352_1	392111	393466	+	119.9	295
403817at33208	Missing
404988at33208	Complete	contig_3592_1	98878	100191	+	153.8	324
405257at33208	Missing
406927at33208	Fragmented	contig_2944_1	66144	66353	-	78.7	69
407472at33208	Complete	contig_1429_1	365171	366670	+	216.2	431
409006at33208	Missing
409186at33208	Complete	contig_72_1	375068	376819	+	342.6	462
411515at33208	Complete	contig_758_1	224372	225331	+	248.5	252
411664at33208	Missing
411755at33208	Complete	contig_854_1	155118	159958	-	277.6	263
412370at33208	Missing
412542at33208	Complete	contig_1478_1	76875	77636	-	299.1	223
412930at33208	Missing
413334at33208	Complete	contig_645_1	459971	461017	-	134.3	229
414001at33208	Complete	contig_305_1	624007	657828	-	389.7	272
414571at33208	Complete	contig_740_1	729163	729972	-	328.8	216
414579at33208	Complete	scaffold_769_1	553150	554040	-	266.5	240
414603at33208	Complete	contig_632_1	2420340	2421779	-	222.3	372
415618at33208	Complete	scaffold_1613_1	892626	893315	+	173.8	181
416175at33208	Complete	contig_341_1	129645	137451	-	247.5	194
418979at33208	Complete	contig_2145_1	300181	309185	-	120.0	124
419502at33208	Complete	contig_1997_1	467727	468584	+	246.8	209
419914at33208	Fragmented	contig_744_1	93298	102532	-	189.7	220
421396at33208	Missing
421685at33208	Complete	contig_1335_1	633247	634540	+	79.6	179
421732at33208	Missing
422158at33208	Missing
422751at33208	Complete	contig_939_1	311423	316126	-	510.1	347
423799at33208	Complete	contig_3050_1	3038	8742	+	213.6	208
423848at33208	Complete	contig_959_1	200320	203619	-	85.9	207
424392at33208	Complete	contig_690_1	277765	278556	-	330.9	230
424569at33208	Complete	contig_1100_1	300654	316135	-	243.2	158
424646at33208	Missing
427349at33208	Duplicated	contig_3514_1	13470	18667	+	198.3	229
427349at33208	Duplicated	contig_3514_1	91891	97085	-	198.3	229
427349at33208	Duplicated	scaffold_647_1	1409929	1415123	+	198.3	229
427789at33208	Complete	scaffold_1081_1	837652	854889	+	428.9	310
428202at33208	Complete	contig_3396_1	4569	14668	-	365.1	356
428754at33208	Missing
429011at33208	Missing
429274at33208	Complete	contig_685_1	138137	138757	-	177.9	165
429751at33208	Missing
430701at33208	Missing
432050at33208	Complete	contig_3815_1	21034	29134	+	388.9	243
432155at33208	Missing
432287at33208	Missing
432522at33208	Missing
433216at33208	Missing
433606at33208	Fragmented	contig_898_1	135781	136377	-	112.4	160
434068at33208	Complete	contig_588_1	1002418	1013509	-	419.0	368
434863at33208	Complete	contig_2802_1	1211750	1219998	-	206.8	190
435253at33208	Missing
435678at33208	Complete	contig_3721_1	257648	258880	+	194.9	318
435921at33208	Complete	contig_830_1	640320	640931	-	97.3	107
435939at33208	Missing
436007at33208	Complete	contig_72_1	118839	155797	+	326.8	329
436098at33208	Missing
436539at33208	Missing
437653at33208	Complete	contig_72_1	819260	825213	-	155.6	132
438133at33208	Complete	contig_393_1	329052	357815	+	441.0	302
438433at33208	Complete	contig_1392_1	144379	145089	-	285.9	202
438453at33208	Complete	contig_3761_1	74899	87572	+	251.4	224
439736at33208	Complete	contig_984_1	494569	500595	+	292.4	301
440195at33208	Complete	contig_3747_1	47676	51724	+	200.3	211
440493at33208	Missing
441575at33208	Missing
442169at33208	Missing
442203at33208	Complete	scaffold_521_1	35562	60786	+	307.1	306
442823at33208	Complete	contig_3720_1	74622	75596	+	73.5	219
443305at33208	Missing
443518at33208	Complete	contig_834_1	79313	93017	-	279.3	231
443659at33208	Complete	contig_3674_1	60493	61080	+	165.0	129
443928at33208	Complete	contig_1237_1	1631139	1632341	-	293.3	312
444160at33208	Fragmented	contig_1461_1	11938	14808	-	141.3	104
444231at33208	Complete	contig_871_1	209302	232624	+	44.1	122
445031at33208	Missing
445034at33208	Missing
445091at33208	Complete	scaffold_1745_1	121017	122114	+	206.3	296
446000at33208	Complete	contig_280_1	1828389	1851312	-	230.4	179
446031at33208	Missing
447320at33208	Complete	contig_1237_1	113740	114867	+	60.1	191
447400at33208	Missing
448196at33208	Complete	contig_3594_1	123051	136849	-	327.9	218
448514at33208	Missing
449056at33208	Complete	contig_819_1	142209	143099	-	242.5	197
449139at33208	Complete	contig_871_1	501947	503748	-	279.0	313
449189at33208	Complete	contig_1289_1	906745	908214	+	107.1	398
450643at33208	Missing
450785at33208	Complete	contig_433_1	109358	110293	-	125.9	102
451242at33208	Fragmented	contig_1128_1	569652	571940	+	104.6	120
451957at33208	Complete	contig_803_1	10295	11818	+	408.8	370
452208at33208	Missing
452499at33208	Complete	contig_790_1	1285321	1292472	+	260.6	209
452574at33208	Complete	contig_3347_1	532815	534251	-	330.9	368
453049at33208	Fragmented	contig_1237_1	86810	90386	+	63.2	86
453052at33208	Complete	contig_440_1	331808	350999	-	191.4	263
453056at33208	Missing
453687at33208	Complete	contig_531_1	127369	134771	+	227.2	265
454911at33208	Missing
455512at33208	Complete	contig_1200_1	292256	293137	-	161.7	204
455941at33208	Fragmented	contig_1363_1	190304	298430	-	94.7	99
456998at33208	Missing
457777at33208	Missing
458807at33208	Complete	contig_1335_1	356993	357946	+	287.3	261
458974at33208	Complete	contig_83_1	296611	299067	+	94.3	143
458988at33208	Complete	contig_691_1	12402	22261	+	450.2	398
459253at33208	Complete	contig_1160_1	1292838	1293653	+	272.3	211
460044at33208	Complete	contig_218_1	463937	474567	-	163.6	225
460518at33208	Missing
461123at33208	Complete	contig_1133_1	38781	39659	-	84.8	198
461193at33208	Complete	contig_699_1	777247	795704	-	121.8	151
462325at33208	Complete	contig_691_1	144037	151480	-	273.4	270
462897at33208	Complete	contig_588_1	128048	129580	+	292.5	341
463071at33208	Missing
464204at33208	Missing
464243at33208	Missing
464286at33208	Missing
464312at33208	Complete	contig_749_1	1360784	1362016	+	159.4	260
464987at33208	Complete	contig_348_1	179594	182006	+	221.7	163
465092at33208	Complete	contig_184_1	802449	811938	+	245.9	215
465401at33208	Complete	contig_871_1	198108	198932	+	233.5	222
465512at33208	Complete	contig_3750_1	65757	68918	-	114.2	728
465651at33208	Complete	contig_405_1	858093	858629	-	61.8	126
465703at33208	Missing
465933at33208	Complete	scaffold_1449_1	1672267	1673202	+	249.6	253
466616at33208	Fragmented	contig_1014_1	113134	119516	-	168.4	215
466942at33208	Missing
467106at33208	Complete	contig_1335_1	889770	900587	+	234.7	234
467142at33208	Fragmented	contig_1237_1	1158179	1162090	-	92.6	114
467744at33208	Fragmented	contig_3694_1	110684	113877	+	147.1	183
468248at33208	Missing
468359at33208	Complete	contig_1148_1	55071	56375	+	313.8	323
468631at33208	Complete	scaffold_1096_1	523012	523851	+	82.0	146
468710at33208	Fragmented	contig_3370_1	95268	95921	+	64.7	96
468757at33208	Complete	contig_749_1	312200	313213	+	293.6	270
469367at33208	Complete	contig_773_1	1446373	1447395	-	95.2	275
470197at33208	Missing
470523at33208	Complete	contig_3624_1	128985	129731	-	208.6	194
471608at33208	Complete	scaffold_3728_1	672060	672890	+	188.4	181
471787at33208	Complete	contig_1034_1	763038	763985	-	188.9	230
472313at33208	Complete	contig_749_1	510311	518588	-	280.9	195
472352at33208	Missing
473106at33208	Complete	scaffold_1197_1	641933	643117	+	306.1	263
474144at33208	Complete	contig_665_1	799126	808095	+	147.9	176
474302at33208	Missing
474387at33208	Complete	contig_3802_1	18342	23910	+	217.7	257
475826at33208	Complete	contig_2458_1	126192	132248	+	185.9	168
476036at33208	Complete	contig_758_1	413442	424933	+	171.0	184
477052at33208	Complete	contig_343_1	258271	259137	+	241.5	231
477939at33208	Complete	contig_1223_1	150588	152030	+	236.1	257
477998at33208	Missing
478073at33208	Duplicated	contig_3578_1	45257	52450	+	377.9	226
478073at33208	Duplicated	contig_773_1	486223	494989	-	377.6	226
478984at33208	Complete	scaffold_1306_1	1058542	1073673	+	260.9	236
480700at33208	Missing
480735at33208	Complete	contig_603_1	33657	49710	+	155.2	177
481557at33208	Fragmented	contig_1149_1	248226	248468	-	52.9	68
482691at33208	Complete	scaffold_1197_1	646342	650878	-	259.6	196
483489at33208	Complete	scaffold_836_1	514301	527310	-	218.3	239
485003at33208	Complete	contig_1841_1	274799	290912	-	123.1	155
485696at33208	Complete	scaffold_769_1	851953	854970	-	91.3	140
486370at33208	Complete	contig_1160_1	995481	1002250	-	183.2	183
486431at33208	Fragmented	contig_3645_1	32286	40793	+	183.2	213
486743at33208	Missing
486993at33208	Complete	contig_1253_1	787909	788901	-	248.8	247
487873at33208	Missing
487987at33208	Complete	scaffold_3033_1	152252	152896	+	68.9	142
488559at33208	Missing
488635at33208	Missing
489359at33208	Missing
489858at33208	Fragmented	contig_609_1	525517	534859	+	137.4	119
489997at33208	Duplicated	contig_507_1	1176376	1177917	+	259.5	328
489997at33208	Duplicated	contig_898_1	158114	167982	-	229.3	281
490248at33208	Complete	contig_1395_1	601681	602295	-	164.6	147
490961at33208	Complete	contig_1335_1	327764	328924	+	99.5	240
491252at33208	Fragmented	contig_1531_1	86586	87383	+	46.5	75
491289at33208	Missing
492033at33208	Complete	contig_3905_1	11505	12098	+	280.0	171
493148at33208	Complete	contig_2575_1	711714	712721	+	141.2	196
493505at33208	Missing
493913at33208	Fragmented	contig_1363_1	544417	553330	-	218.6	174
494057at33208	Complete	contig_716_1	269883	281860	+	98.6	139
495100at33208	Complete	contig_83_1	183247	184479	+	252.7	209
495175at33208	Complete	contig_1100_1	192173	192907	+	185.7	181
495207at33208	Fragmented	contig_609_1	278265	283581	-	80.9	135
495311at33208	Complete	contig_405_1	1915637	1923443	-	162.7	161
495329at33208	Missing
495389at33208	Complete	contig_1015_1	76734	77417	+	127.1	176
495605at33208	Complete	contig_1128_1	458517	459314	-	334.9	227
495802at33208	Complete	contig_713_1	491508	491870	+	52.9	57
495926at33208	Complete	contig_2339_1	2318	3043	+	81.7	171
496070at33208	Complete	contig_3744_1	26376	26837	-	82.6	108
496219at33208	Complete	contig_1600_1	65687	66550	-	353.5	248
498535at33208	Complete	scaffold_769_1	203653	204480	-	276.0	229
500261at33208	Complete	contig_936_1	226817	228028	+	181.2	271
500808at33208	Missing
501396at33208	Complete	scaffold_836_1	179160	189126	+	260.5	169
501546at33208	Complete	contig_1184_1	125726	126112	-	28.6	107
501788at33208	Fragmented	contig_290_1	226596	230303	-	136.4	124
